reference_title,title,season,episode,text,start_time,end_time
Blue Bloods,Family Guy,S14,E13,one of the main badguys in<i> Blue Bloods.</i>,"0:7:18,77","0:7:20,77"
CSI: Miami,Futurama,S6,E2,<i>It does on CSI: Miami.</i>,"0:2:16,15","0:2:17,777"
CSI: Miami,American Dad!,S4,E18,- What are you doing?- CSI Miami.,"0:20:23,946","0:20:26,280"
CSI: Miami,The Simpsons,S17,E15,So CSI: Miami investigated-ed it.,"0:11:58,126","0:12:0,672"
CSI: Miami,The Simpsons,S17,E15,"Now, Homer, would you care togive your report on CSI: Miami?","0:11:46,631","0:11:51,442"
CSI: Miami,Family Guy,S5,E7,Victor's such a good actor.He played a dead baby on CSI: Miami.,"0:13:40,325","0:13:44,150"
Grey's Anatomy,Scream Queens,S2,E3,"Or on<i> Grey's Anatomy,</i>","0:35:55,498","0:35:57,231"
Grey's Anatomy,This Is Us,S5,E1,Grey's Anatomy.,"0:28:41,83","0:28:43,250"
Grey's Anatomy,South Park,S13,E1,Grey's Anatomy? Kenny!,"0:13:45,360","0:13:47,880"
Grey's Anatomy,The Good Doctor,S4,E19,I watched Grey's Anatomy.,"0:16:27,924","0:16:29,193"
Grey's Anatomy,Modern Family,S8,E7,"I watch a lot ofGrey's Anatomy,","0:15:19,830","0:15:21,330"
Grey's Anatomy,Bosch,S2,E4,- Whatcha doin'?- Watching Grey's Anatomy.,"0:23:5,462","0:23:7,627"
Grey's Anatomy,Station 19,S4,E6,<i>Previously on Grey's Anatomyand Station 19...</i>,"0:0:0,27","0:0:2,958"
Grey's Anatomy,CSI: Crime Scene Investigation,S11,E18,"Yeah, Grey's Anatomy,she's old.","0:31:17,88","0:31:20,190"
Grey's Anatomy,CSI: Crime Scene Investigation,S11,E18,"Yeah, Grey's Anatomy,she's old.","0:31:17,88","0:31:20,190"
Grey's Anatomy,The Simpsons,S21,E5,"Rod watched a commercialfor Grey's Anatomy,","0:16:53,304","0:16:55,579"
Grey's Anatomy,Station 19,S3,E2,Previously on Grey's Anatomyand Station 19...,"0:0:0,27","0:0:2,645"
Grey's Anatomy,Station 19,S3,E1,Previously on Grey's Anatomyand Station 19...,"0:0:0,33","0:0:2,686"
Grey's Anatomy,The Big Bang Theory,S3,E23,"I tell you,this is my new <i>Grey's Anatomy.</i>","0:0:45,546","0:0:49,38"
Grey's Anatomy,South Park,S13,E1,"We love Grey's Anatomy, don't we, Carol?","0:10:53,540","0:10:55,590"
Grey's Anatomy,South Park,S13,E1,"You want your Grey's Anatomy back, Kenny?","0:14:0,650","0:14:2,770"
Grey's Anatomy,American Dad!,S2,E2,"We have Grey's Anatomyon Season Pass, yes?","0:12:12,932","0:12:15,900"
Grey's Anatomy,The Big Bang Theory,S11,E19,"Dude, you're like<i>Grey's Anatomy</i> for robots.","0:5:50,661","0:5:54,663"
Grey's Anatomy,South Park,S13,E1,"Ken, you and Tammy, do you watch Grey's Anatomy?","0:10:59,420","0:11:1,690"
Grey's Anatomy,Scrubs,S6,E13,Grey's Anatomy always reps upevery episode...,"0:10:9,682","0:10:12,434"
Grey's Anatomy,Scrubs,S6,E13,"Oh, and FYI, I happen to likethe voiceovers on Grey's Anatomy.","0:13:3,825","0:13:6,892"
Grey's Anatomy,Family Guy,S5,E14,"Hey, Bonnie and I are watchingGrey's Anatomy if you want to come in.","0:20:34,88","0:20:37,830"
Grey's Anatomy,9-1-1,S2,E2,You would think after14 seasons of<i> Grey's Anatomy</i>,"0:9:43,350","0:9:45,279"
Grey's Anatomy,The Vampire Diaries,S5,E4,"<i>...Applied Micro Bio, Molecular Bioand Grey's Anatomy.</i>","0:3:12,925","0:3:16,203"
Grey's Anatomy,South Park,S13,E1,"You know, what Carol and I really enjoy, is Grey's Anatomy.","0:10:51,140","0:10:53,540"
Grey's Anatomy,South Park,S13,E1,"No! I don't want to watch Grey's Anatomy, Ken.","0:20:41,390","0:20:44,380"
Grey's Anatomy,Charmed,S1,E3,but I've watched my fairshare of Grey's Anatomy.,"0:8:10,62","0:8:12,499"
Grey's Anatomy,Scrubs,S5,E11,Can't we just go home and put onour pj's and watch <i>Grey's Anatomy?</i>,"0:11:44,870","0:11:48,567"
Grey's Anatomy,Family Guy,S13,E6,I'll probably just reheat someramen and watch<i> Grey's Anatomy.</i>,"0:4:25,534","0:4:27,701"
Supergirl,The Simpsons,S28,E1,Supergirl?!,"0:5:42,579","0:5:44,159"
Supergirl,Grey's Anatomy,S10,E5,"Okay, supergirl.","0:27:40,715","0:27:44,151"
Supergirl,Legacies,S4,E1,"it's okay, Supergirl.","0:31:15,612","0:31:18,876"
Supergirl,Legacies,S4,E1,"If he thinks you are Supergirl,","0:31:20,574","0:31:23,794"
Supergirl,Friends,S8,E6,"So we do, Supergirl.","0:4:28,184","0:4:30,60"
Supergirl,The Simpsons,S15,E19,"Supergirl vs. The glass ceiling,","0:7:24,716","0:7:26,700"
Supergirl,Blue Bloods,S3,E9,You wish you couldturn into Supergirl,"0:16:41,173","0:16:43,206"
Supergirl,NCIS: Los Angeles,S7,E23,"When I was five,I wanted to be Supergirl, so...","0:12:2,825","0:12:5,424"
Supergirl,NCIS: Los Angeles,S7,E23,"I mean, Supergirl's an alienfrom the planet Krypton.","0:12:9,597","0:12:12,533"
Supergirl,NCIS,S2,E12,"Okay, Gibbs, I know you think I'm Supergirl...","0:8:14,600","0:8:16,520"
Supergirl,The Simpsons,S19,E7,after he was kicked in the headby Supergirl's horse Comet...,"0:2:31,208","0:2:34,53"
Supergirl,Friends,S8,E6,"Who do you think would win in a fight,Catwoman or Supergirl?","0:9:3,84","0:9:6,670"
Hawaii Five-0,The Simpsons,S33,E19,The theme to<i> Hawaii Five-O?!</i>Wow!,"0:1:17,120","0:1:19,787"
Hawaii Five-0,Law & Order: Special Victims Unit,S4,E20,and you can'tbarge in here Iikeyou're Hawaii Five-O.,"0:12:26,45","0:12:28,570"
Gossip Girl,One of Us Is Lying,S1,E6,- Gossip Girl? Wow.,"0:5:5,971","0:5:8,223"
Gossip Girl,Family Guy,S11,E22,It's me. I'm Gossip Girl.,"0:7:50,770","0:7:52,647"
Gossip Girl,Shameless,S8,E8,an episode of Gossip Girl?,"0:21:7,11","0:21:9,661"
Gossip Girl,CSI: Crime Scene Investigation,S10,E13,<i>I watched the Gossip Girl I dvr'd</i>,"0:31:25,83","0:31:26,593"
Gossip Girl,Family Guy,S11,E22,I must notify Gossip Girl!,"0:7:30,283","0:7:32,627"
Gossip Girl,Family Guy,S11,E22,Pass this along to Gossip Girl.,"0:7:32,718","0:7:35,426"
Gossip Girl,House,S6,E6,Talk to our little Gossip Girl.,"0:15:2,569","0:15:4,27"
Gossip Girl,NCIS,S15,E24,"And good morning to you, too,Gossip Girl.","0:14:50,19","0:14:52,19"
Gossip Girl,One of Us Is Lying,S1,E6,- You little fucked upGossip Girl wannabe.,"0:5:1,91","0:5:3,845"
Gossip Girl,Law & Order: Special Victims Unit,S16,E21,"If I buy him lunch, he'lldish like a Gossip Girl.","0:7:35,187","0:7:38,792"
The Big Bang Theory,NCIS,S12,E6,<i>Big Bang Theory.</i>,"0:31:59,168","0:32:0,551"
The Big Bang Theory,Family Guy,S16,E8,Big Bang Theory?,"0:3:11,39","0:3:12,408"
The Big Bang Theory,The Simpsons,S30,E7,after<i> The Big Bang Theory.</i>,"0:14:1,601","0:14:4,34"
The Big Bang Theory,The Simpsons,S27,E12,"Come on,<i> Big Bang</i><i>Theory</i> scratcher.","0:9:39,282","0:9:41,522"
The Big Bang Theory,Family Guy,S9,E3,<i>I keep not laughingat The Big Bang Theory...</i>,"0:13:27,920","0:13:29,990"
The Big Bang Theory,Two and a Half Men,S12,E14,And watch the series finaleof   <i>the big bang theory.</i>,"0:13:48,28","0:13:51,396"
The Big Bang Theory,Scrubs,S9,E12,And set my dvr to record big bang theory.,"0:7:28,25","0:7:30,870"
The Big Bang Theory,Grimm,S6,E6,The only big bang theory I wannadeal with is the one from a gun.,"0:9:39,840","0:9:43,322"
Game of Thrones,Titans,S1,E2,Is that <i>Game Of Thrones?</i>,"0:14:6,214","0:14:9,284"
Game of Thrones,The Big Bang Theory,S5,E5,It's from Game of Thrones.,"0:0:8,550","0:0:10,259"
Game of Thrones,Family Guy,S12,E17,<i>Game of thrones.</i>,"0:15:48,748","0:15:50,248"
Game of Thrones,The Big Bang Theory,S9,E21,"<i>Game of Thrones,</i> game time?","0:13:47,809","0:13:50,610"
Game of Thrones,The Big Bang Theory,S9,E21,watch <i>Game of</i><i>Thrones</i> with us?,"0:5:9,523","0:5:10,822"
Game of Thrones,Hawaii Five-0,S5,E11,<i>Game of Thrones?</i> Anyone?,"0:29:0,38","0:29:2,528"
Game of Thrones,Cobra Kai,S2,E5,You watch <i>Game of Thrones?</i>,"0:18:41,537","0:18:43,873"
Game of Thrones,Elite,S1,E4,Is your family from <i>Game of Thrones?</i>,"0:6:12,680","0:6:14,959"
Game of Thrones,Supernatural,S9,E23,Game of Thrones is complicated.,"0:12:44,698","0:12:46,397"
Game of Thrones,The Big Bang Theory,S9,E18,"You know,on <i>Game of Thrones,</i>","0:5:17,649","0:5:20,550"
Game of Thrones,Lucifer,S3,E14,Have you tried Game of Thrones?,"0:21:46,477","0:21:48,747"
Game of Thrones,This Is Us,S3,E10,Think of Game of Thrones.,"0:10:49,311","0:10:50,811"
Game of Thrones,Rick and Morty,S1,E6,This isn'tGame of Thrones.,"0:3:33,713","0:3:35,381"
Game of Thrones,The Office,S9,E3,from HBO's <i>Game of Thrones?</i>,"0:11:33,53","0:11:35,470"
Game of Thrones,The Simpsons,S27,E5,What is this <i>Game of Thrones</i>,"0:5:48,947","0:5:51,548"
