reference_title,title,season,episode,text,start_time,end_time
"Magnum, P.I.",Better Call Saul,S5,E10,"Ooh. I Magnum, P.I.!","0:29:47,63","0:29:49,544"
"Magnum, P.I.",Top Gear,S2,E5,"which you may recognize
from Magnum P.I.","0:16:26,475","0:16:30,11"
"Magnum, P.I.",This Is Us,S6,E13,You look like Magnum P.I.,"0:26:11,520","0:26:13,740"
"Magnum, P.I.",Marvel's Agents of S.H.I.E.L.D.,S2,E12,"What's up, Magnum P.I.?
You enjoying this?","0:12:2,138","0:12:4,472"
"Magnum, P.I.",Gilmore Girls,S6,E4,"You need an episode
of <i>Magnum P.I.</i> from 1986?","0:1:4,367","0:1:7,757"
"Magnum, P.I.",Young Sheldon,S2,E9,"That's where they make Magnum, P.I.","0:3:23,954","0:3:25,216"
"Magnum, P.I.",NCIS: Los Angeles,S8,E5,"Nell, what's your stance
on <i>Magnum, P.I.?</i>","0:3:7,266","0:3:10,100"
"Magnum, P.I.",Family Guy,S7,E1,"Oh, I get it.
You're crippled Magnum P.I.","0:2:26,411","0:2:28,830"
"Magnum, P.I.",Teen Titans Go!,S2,E38,"<i>or Silver Spoons, or Out of
This World, or Magnum, P.I.,</i>","0:2:48,281","0:2:50,81"
"Magnum, P.I.",Hawaii Five-0,S3,E19,"I just... felt the Magnum P.I.
theme was appropriate.","0:41:58,409","0:42:2,777"
"Magnum, P.I.",The O.C.,S2,E4,"Well-played, Magnum P.I.
Stay away from her.","0:27:56,728","0:28:0,928"
"Magnum, P.I.",NCIS: Los Angeles,S8,E5,"of <i>Magnum, P.I.</i> my mom
should watch in a day.","0:2:41,408","0:2:43,508"
"Magnum, P.I.",American Dad!,S8,E2,"No, no, I signed us up for
the couples' Magnum P.I. class.","0:13:13,630","0:13:16,498"
"Magnum, P.I.",Seinfeld,S4,E1,"You never see Magnum P.I. go,
Should I strangle him...","0:21:32,49","0:21:34,563"
"Magnum, P.I.",The O.C.,S1,E10,"Maybe when I was 13,
my nickname used to be Magnum, P.I.","0:33:20,560","0:33:24,109"
"Magnum, P.I.",Ray Donovan,S2,E1,"You're the Magnum, P.I., motherfucker.
Ha, ha, you find him.","0:18:16,804","0:18:20,182"
Seinfeld,The Simpsons,S31,E5,Seinfeld.,"0:16:56,514","0:16:58,682"
Seinfeld,30 Rock,S2,E1,seinfeld.,"0:1:22,588","0:1:23,690"
Seinfeld,The Simpsons,S26,E1,...Newman from<i> seinfeld.</i>,"0:15:3,770","0:15:5,903"
Seinfeld,The Simpsons,S31,E5,vodka and Seinfeld.,"0:10:36,201","0:10:38,802"
Seinfeld,Sam & Cat,S1,E3,"- Cheers.
- Seinfeld.","0:2:54,884","0:2:56,206"
Seinfeld,30 Rock,S2,E1,you seduce seinfeld.,"0:15:2,648","0:15:3,349"
Seinfeld,Jane the Virgin,S3,E8,<i>Not like Jerry Seinfeld.</i>,"0:22:20,906","0:22:22,339"
Seinfeld,Jane the Virgin,S3,E8,This is Jerry Seinfeld as E.T.,"0:29:18,457","0:29:20,423"
Seinfeld,30 Rock,S2,E1,Mr. Seinfeld's here.,"0:17:48,827","0:17:50,131"
Seinfeld,30 Rock,S2,E1,How'd it go with seinfeld?,"0:20:9,819","0:20:11,22"
Seinfeld,30 Rock,S4,E15,"Not <i>Seinfeld, Friends, E. R</i>. exciting.","0:0:33,432","0:0:35,567"
Seinfeld,Modern Family,S11,E15,And I called Seinfeld Steinfeld.,"0:12:1,365","0:12:3,403"
Seinfeld,Mr. Robot,S2,E1,"<i>He just
discovered</i> Seinfeld.","0:8:15,829","0:8:17,706"
Seinfeld,Superman & Lois,S2,E10,"Oh, and the trips
with President Seinfeld.","0:13:46,432","0:13:48,437"
Seinfeld,American Dad!,S8,E5,Could that be a joke for Jerry Seinfeld?,"0:4:30,942","0:4:33,476"
Seinfeld,30 Rock,S2,E1,Number one--kill seinfeld.,"0:14:53,817","0:14:55,422"
Seinfeld,30 Rock,S2,E1,"liz,um,seinfeld's here,","0:16:46,811","0:16:48,817"
Seinfeld,30 Rock,S2,E1,"All right,listen,seinfeld.","0:18:55,359","0:18:56,764"
Seinfeld,Family Guy,S11,E10,"There's a line in there
from <i>Seinfeld!</i>","0:14:47,594","0:14:49,195"
Seinfeld,American Dad!,S9,E13,"You could name it
Jessica Seinfeld,","0:7:23,442","0:7:25,309"
Seinfeld,Family Guy,S16,E2,to hang out with Jerry Seinfeld?,"0:15:39,883","0:15:41,865"
Seinfeld,Mr. Robot,S2,E3,"<i>Even Leon's stupid</i>
Seinfeld <i>philosophy</i>","0:35:23,748","0:35:25,541"
Seinfeld,Family Guy,S15,E2,"It's true. Even Jerry
Seinfeld drank it.","0:14:6,11","0:14:8,312"
Seinfeld,Orange Is the New Black,S3,E7,"I need some, like...
<i>Seinfeld</i> episodes.","0:38:25,79","0:38:29,153"
Seinfeld,30 Rock,S2,E1,"Sir,jerry seinfeld is here to see you.","0:8:55,166","0:8:57,573"
Seinfeld,Cobra Kai,S3,E5,Master of your domain. Ever see Seinfeld?,"0:6:42,485","0:6:45,153"
Seinfeld,The Simpsons,S20,E4,"It was okay.
I got Seinfeld, Season 7.","0:4:44,956","0:4:49,701"
Seinfeld,American Dad!,S5,E9,"Of course.
Jerry Seinfeld's car garage.","0:15:5,502","0:15:8,801"
Seinfeld,Mr. Robot,S2,E9,"Think I'ma start watching
Seinfeld next.","0:7:16,478","0:7:18,523"
Seinfeld,30 Rock,S2,E1,from his massively successful television series seinfeld.,"0:1:5,929","0:1:8,639"
Seinfeld,30 Rock,S2,E1,Does jerry seinfeld know you're doing this?,"0:1:44,966","0:1:46,972"
Seinfeld,30 Rock,S5,E4,"'Cause my memory
has Seinfeld money.","0:1:13,268","0:1:16,294"
Seinfeld,Gilmore Girls,S5,E16,and talks about a funny <i>Seinfeld</i> he saw...,"0:0:57,607","0:0:59,165"
Seinfeld,2 Broke Girls,S1,E6,"Jessica Seinfeld stole
the Martha Stewart boy.","0:11:20,447","0:11:23,849"
Seinfeld,The Simpsons,S22,E2,"if I'm watching an old <i>Seinfeld</i>
or an old <i>Old Christine.</i>","0:13:34,573","0:13:37,875"
Seinfeld,Family Guy,S4,E13,"Peter paid the villagers to reenact
the Contest episode of Seinfeld.","0:19:7,219","0:19:10,735"
Seinfeld,30 Rock,S2,E1,"Number two--kill seinfeld,then kill myself.","0:14:55,423","0:14:56,927"
Seinfeld,30 Rock,S1,E2,"I thought me and you could
play Seinfeld and Bill Cosby.","0:5:13,392","0:5:16,395"
Seinfeld,This Is Us,S2,E13,"I've been watching too much
Seinfeld, too.","0:4:40,968","0:4:42,942"
Seinfeld,The Big Bang Theory,S12,E1,"I'm-I'm not Seinfeld funny, but
I did an open mic night once.","0:19:5,125","0:19:8,126"
Seinfeld,30 Rock,S2,E1,"Well,I realized that nbc owns hundreds of hours of footage of seinfeld","0:1:1,12","0:1:5,928"
Seinfeld,30 Rock,S2,E1,"Kenneth,why didn't you tell me mr. Seinfeld is here?","0:11:27,999","0:11:30,408"
Seinfeld,30 Rock,S2,E1,"Now,why is me seducing seinfeld all the way at 70?","0:15:3,350","0:15:5,657"
Seinfeld,30 Rock,S1,E2,"I got one! I got one!
Jerry Seinfeld and Bill Cosby.","0:17:42,99","0:17:45,561"
Seinfeld,American Dad!,S3,E15,"You see that episode of <i>Seinfeld</i>
Thursday night 10 years ago?","0:12:15,634","0:12:18,797"
Seinfeld,American Dad!,S5,E9,"Really? Seinfeld has
his own car garage in Manhattan.","0:15:11,108","0:15:15,238"
Seinfeld,iCarly,S4,E10,"Sure, 'cause you haven't had a
date since seinfeld got cancelled.","0:2:16,150","0:2:19,50"
Seinfeld,30 Rock,S2,E1,"Number three--kill seinfeld,flee to svenborgia,then kill myself.","0:14:56,928","0:14:59,937"
Seinfeld,The Vampire Diaries,S1,E5,"I think Seinfeld is the best American
television show of the past 50 years...","0:17:8,558","0:17:12,289"
Seinfeld,30 Rock,S2,E1,"So my old tech guys were able to digitally capture seinfeld,","0:1:9,141","0:1:12,351"
Seinfeld,Family Guy,S3,E15,"Uh... You mean ha-ha Jerry Seinfeld funny, or
Elayne Boosler bless-her-she's-trying funny?","0:13:15,87","0:13:21,218"
That '70s Show,Family Guy,S6,E6,"including That '70s Show,","0:17:18,18","0:17:19,641"
That '70s Show,Family Guy,S4,E11,"We got to come up with some crazy
scheme like the kids on That '70s Show.","0:19:18,812","0:19:23,222"
Gossip Girl,Family Guy,S11,E22,It's me. I'm Gossip Girl.,"0:7:50,770","0:7:52,647"
Gossip Girl,One Tree Hill,S9,E7,"Are you Chuck
on the gossip girl?","0:12:58,402","0:13:1,155"
Gossip Girl,CSI: Crime Scene Investigation,S10,E13,<i>I watched the Gossip Girl I dvr'd</i>,"0:31:25,83","0:31:26,593"
Gossip Girl,Family Guy,S11,E22,I must notify Gossip Girl!,"0:7:30,283","0:7:32,627"
Gossip Girl,Family Guy,S11,E22,Pass this along to Gossip Girl.,"0:7:32,718","0:7:35,426"
Gossip Girl,One Tree Hill,S6,E17, I'd rather watch gossip girl.,"0:4:9,800","0:4:11,340"
Gossip Girl,30 Rock,S4,E10,"Because I have an
audition for <i>Gossip Girl</i>.","0:3:24,236","0:3:25,871"
Gossip Girl,30 Rock,S6,E13,"which gossip girl are you?
Quizzes,","0:4:11,117","0:4:12,785"
Gossip Girl,One Tree Hill,S6,E6,"Uh, actually,
this is a gossip girl book.","0:16:29,4","0:16:32,338"
Gossip Girl,One Tree Hill,S6,E6,"One of which
was a gossip girl book.","0:18:49,285","0:18:51,584"
Gossip Girl,Ugly Betty,S4,E16,"He used to date a gossip girl.
That's why he's speaking?","0:1:36,972","0:1:40,74"
Gossip Girl,Parks and Recreation,S2,E6,"<i>I needed all eleven disks of
Gossip Girl at the same time.</i>","0:0:14,387","0:0:17,221"
Stranger Things,Hawaii Five-0,S9,E5,Barb from <i>Stranger Things?</i>,"0:15:9,522","0:15:11,549"
Stranger Things,NCIS: Los Angeles,S9,E21,"and the creature
from <i>Stranger Things.</i>","0:10:25,416","0:10:27,816"
Stranger Things,Brooklyn Nine-Nine,S5,E13,"to the kid with the lisp
from Stranger Things.","0:3:3,305","0:3:4,771"
Stranger Things,Law & Order: Organized Crime,S1,E6,"Y'know, like in Stranger Things?","0:37:14,186","0:37:16,150"
Stranger Things,Family Guy,S19,E11,watch some<i> Stranger Things</i>?,"0:20:22,213","0:20:24,340"
Stranger Things,Blindspot,S2,E7,"Stranger Things. No spoilers, please.","0:6:48,33","0:6:50,167"
Stranger Things,Brooklyn Nine-Nine,S5,E13,"What about Dustin
from Stranger Things?","0:17:39,353","0:17:40,782"
Stranger Things,The Simpsons,S29,E10,"Stranger Things suffers
from season two fatigue.","0:2:54,427","0:2:58,531"
Stranger Things,Brooklyn Nine-Nine,S5,E13,"He said he doesn't watch
Stranger Things.","0:3:55,723","0:3:57,490"
Baywatch,Family Guy,S16,E6,I saw<i> Baywatch.</i>,"0:15:36,798","0:15:38,259"
Baywatch,Jane the Virgin,S1,E4,"It's four feet, baywatch!","0:17:30,784","0:17:32,282"
Baywatch,NCIS: Los Angeles,S6,E22,"and pause reruns
of <i>Baywatch?</i>","0:2:31,346","0:2:33,312"
Baywatch,Young Justice,S4,E2,"Whatever, Baywatch, I'm here to stay.","0:27:44,200","0:27:47,266"
Baywatch,Hawaii Five-0,S8,E15,"Baywatch, get out of here.","0:1:38,430","0:1:40,730"
Baywatch,Ginny & Georgia,S1,E7,Ben Brandeis! Baywatch lifeguard!,"0:8:30,175","0:8:32,427"
Baywatch,The Simpsons,S7,E25,"<i>No. No, I heard it on Baywatch.</i>","0:13:46,258","0:13:50,126"
Baywatch,The Simpsons,S7,E25,"<i>Baywatch. David Hasselhoff, man.</i>","0:13:52,231","0:13:54,199"
Baywatch,The Vampire Diaries,S6,E3,"- Remember Baywatch?
- No, I do not.","0:26:40,838","0:26:43,673"
Baywatch,MasterChef,S8,E4,"It is very much like
a Baywatch moment.","0:1:36,105","0:1:38,240"
Baywatch,"Beverly Hills, 90210",S6,E16,"where it was billed as
Baywatch with blossoms.","0:0:10,143","0:0:14,79"
Baywatch,Family Guy,S16,E6,(BAYWATCH THEME I'LL BE THERE PLAYING),"0:5:49,451","0:5:51,769"
Baywatch,The Vampire Diaries,S6,E3,"I mean, you're
no Baywatch, but...","0:26:38,202","0:26:40,837"
Baywatch,Young Sheldon,S4,E10,"Who wants a beach body like
the ones on <i>Baywatch?</i>","0:17:34,820","0:17:38,219"
Baywatch,Family Guy,S16,E6,"Hey, how was<i> Baywatch?</i> I
want to see that bad.","0:7:20,108","0:7:22,661"
Baywatch,One Tree Hill,S3,E4,"<i>Well, Lucas thought he could make me
jealous with that Baywatch bimbo.</i>","0:39:2,508","0:39:6,553"
Curious George,Bob's Burgers,S7,E15,Curious George.,"0:18:22,721","0:18:23,720"
Curious George,Mad Men,S6,E6,Curious George?,"0:22:5,516","0:22:7,717"
Curious George,The Big Bang Theory,S2,E13,<i>Curious George.</i>,"0:11:2,511","0:11:3,671"
Curious George,Everybody Loves Raymond,S5,E20,About curious george?,"0:21:45,4","0:21:48,472"
Curious George,2 Broke Girls,S5,E5,Overly curious George?,"0:1:29,468","0:1:32,638"
Curious George,The Big Bang Theory,S2,E13,Curious George is a monkey.,"0:11:5,648","0:11:7,81"
Curious George,Orange Is the New Black,S3,E8,"Well, aren't you Curious George?","0:27:55,680","0:27:58,479"
Curious George,Family Guy,S9,E7,"And what about
Curious George?","0:15:19,445","0:15:21,313"
Curious George,The Simpsons,S20,E13,"Well, more of a Curious George.","0:8:12,690","0:8:14,426"
Curious George,Family Guy,S9,E7,"Is Curious George
not really out there","0:15:24,17","0:15:25,884"
Curious George,Criminal Minds,S15,E7,"Or curious George... do you
guys remember a tail or no tail?","0:19:11,700","0:19:14,732"
Curious George,Family Guy,S16,E6,"But I like my library. I
met Curious George there.","0:0:49,345","0:0:52,362"
The Sopranos,This Is Us,S4,E15,or The Sopranos?,"0:13:52,403","0:13:53,971"
The Sopranos,The King of Queens,S5,E10,and watch the Sopranos...,"0:8:47,47","0:8:48,113"
The Sopranos,Parks and Recreation,S4,E8,the <i>Sopranos</i> option.,"0:8:40,148","0:8:42,81"
The Sopranos,Family Guy,S16,E1,"The Sopranos.
Right.","0:12:8,677","0:12:9,913"
The Sopranos,Orange Is the New Black,S6,E11,Like the Gambinos or the Sopranos.,"0:9:57,346","0:9:59,557"
The Sopranos,Orange Is the New Black,S2,E1,"And from what I've seen on The Sopranos,","0:44:1,302","0:44:2,802"
The Sopranos,Gossip Girl,S3,E9,"It's like the sopranos,
but with bagels.","0:8:1,230","0:8:3,450"
The Sopranos,The Marvelous Mrs. Maisel,S2,E4,"And, yes, sopranos can be very annoying,","0:41:27,168","0:41:28,836"
The Sopranos,Xena: Warrior Princess,S1,E19,"Get away from the sopranos! Hey,","0:17:42,970","0:17:44,620"
The Sopranos,Ted Lasso,S2,E7,"It's like we're on a episode
of The Sopranos,","0:5:0,427","0:5:3,96"
The Sopranos,American Dad!,S13,E5,"on your sweet Sopranos
pinball machine,","0:9:56,501","0:9:58,567"
The Sopranos,Riverdale,S5,E14,"like Greek myths, Dostoyevsky,
The Sopranos.","0:27:32,779","0:27:37,326"
The Sopranos,Parks and Recreation,S4,E8,"The only good font
is the <i>Sopranos</i> one,","0:4:13,873","0:4:15,875"
The Sopranos,Family Guy,S6,E5,"Well, at least it didn't end like
The Sopranos,","0:20:56,447","0:20:58,521"
The Sopranos,Numb3rs,S4,E15,"<i>Yeah, I know.
It was The Sopranos all over again.</i>","0:2:16,762","0:2:18,764"
The Sopranos,American Dad!,S3,E3,"<i>Yeah, give me three
Sopranos pinball machines...</i>","0:16:45,201","0:16:47,703"
The Sopranos,Gilmore Girls,S6,E22,"Lynnie, as a psychologist, tell me,
what do you think of <i>The Sopranos?</i>","0:26:44,487","0:26:47,399"
The Sopranos,Miami Vice,S3,E17,"Man, these sopranos
wouldn't even go to sleep
without a light on.","0:33:5,430","0:33:9,799"
The Sopranos,The Simpsons,S12,E10,"Hey, you ever meet any mob guys?
Are they really like <i>The Sopranos?</i>","0:21:25,217","0:21:29,85"
The Sopranos,Gossip Girl,S4,E18,"but Carmela on Sopranos didn't
get big break till she was 40.","0:7:20,861","0:7:25,440"
Miami Vice,Brooklyn Nine-Nine,S6,E6,"- Nope.
- Miami Vice.","0:2:48,742","0:2:49,334"
Miami Vice,The O.C.,S2,E6,That is so Miami Vice.,"0:36:48,1","0:36:49,0"
Miami Vice,One Tree Hill,S7,E15,From Miami Vice reruns.,"0:8:2,123","0:8:3,656"
Miami Vice,Modern Family,S9,E9,A Miami vice principal...,"0:17:8,871","0:17:10,136"
Miami Vice,Midsomer Murders,S14,E4,Ooh. Very Miami Vice.,"0:13:7,700","0:13:9,660"
Miami Vice,The O.C.,S2,E6,You've seen Miami Vice?,"0:36:49,1","0:36:50,0"
Miami Vice,One Tree Hill,S6,E2,"<i>What are you,
a drug dealer on Miami Vice?</i>","0:29:11,326","0:29:14,557"
Miami Vice,Malcolm in the Middle,S7,E10,"just watching their
Miami Vice and MTV's.","0:13:26,832","0:13:30,272"
Miami Vice,30 Rock,S2,E4,"Cosby, Miami Vice, Cheers,
and Highway to Heaven?","0:18:10,89","0:18:13,650"
Miami Vice,30 Rock,S4,E7,"the actor who played
Tubbs on <i>Miami Vice</i>.","0:6:24,683","0:6:27,52"
